,Facility,Activity.Name,Description,Activity.Code,Fee,Fee.Description,Drop.In,Age.Start,Age.End,Days,Start.Date,End.Date,Start.Time,End.Time
12015,Balmoral Recreation Centre,Integration Support,"For more information, please call (905) 846-2370.",687561,0,Zero Charge,No,36,1200,Daily,15-06-29,15-07-05,9:00 AM,10:00 AM
12016,Balmoral Recreation Centre,Integration Support,"For more information, please call (905) 846-2370.",687583,0,Zero Charge,No,36,1200,Daily,15-03-30,15-04-05,9:00 AM,10:00 AM
12066,Balmoral Recreation Centre,Swim - Splash 6,"Has completed Splash 5 and/or can eggbeater kick for 30 seconds, swim front and back crawl for 50 metres, and breaststroke for 15 metres. Participants will Learn scissor kick. They will further develop their breaststroke and swim front & back crawl for 50-100 metres.",696532,66.75,Swim - SPLASH (10) prices may vary based on residency/memberships,No,72,156,M-F,15-08-24,15-09-04,11:15 AM,12:00 PM
12104,Balmoral Recreation Centre,Swim - Splash 3,"Has completed Little Splash 5 or Splash 2 Pro and/or can tread water for 45 seconds, swim front crawl with regular breathing for 15 metres and back crawl for 15 metres. Participants will Learn whip kick on their back, and the Canadian Swim to Survive Standard: roll into deep water, tread water for 1 minute and swim 50 metres.",696159,66.75,Swim - SPLASH (10) prices may vary based on residency/memberships,No,72,156,M-F,15-07-13,15-07-24,11:00 AM,11:30 AM
12200,Balmoral Recreation Centre,Swim - LSS National Lifeguard RECERT (Pool Option),"A one-day re-exam for candidates who have previously taken their National Lifeguard certification.  Re-certification is required every 24 months for employment.Options include Pool and WaterfrontPrerequisites:  National Lifeguard certificationCourse Length:  6 hours",696629,51.3,Swim - NLS Recert prices may vary based on residency/memberships,No,192,1188,Sa,15-03-28,15-03-28,12:00 PM,6:00 PM
12201,Balmoral Recreation Centre,Swim - LSS National Lifeguard RECERT (Pool Option),"A one-day re-exam for candidates who have previously taken their National Lifeguard certification.  Re-certification is required every 24 months for employment.Options include Pool and WaterfrontPrerequisites:  National Lifeguard certificationCourse Length:  6 hours",696630,51.3,Swim - NLS Recert prices may vary based on residency/memberships,No,192,1188,Sa,15-05-02,15-05-02,12:00 PM,6:00 PM
12218,Balmoral Recreation Centre,Swim - Little Splash 4,"Has completed Little Splash 3 and/or can hold their breath underwater, float for 3-5 seconds unassisted, and glide on their front and back. Participants will jump into deep water, glide on their side and swim front crawl for 3-5 metres.",695890,66.75,Swim - SPLASH (10) prices may vary based on residency/memberships,No,36,72,Tu,15-06-30,15-09-01,5:30 PM,6:00 PM
12219,Balmoral Recreation Centre,Swim - Little Splash 4,"Has completed Little Splash 3 and/or can hold their breath underwater, float for 3-5 seconds unassisted, and glide on their front and back. Participants will jump into deep water, glide on their side and swim front crawl for 3-5 metres.",695891,66.75,Swim - SPLASH (10) prices may vary based on residency/memberships,No,36,72,Th,15-07-02,15-09-03,7:00 PM,7:30 PM
11964,Brampton Soccer Centre,Lively Trippers,"An incredible array of enjoyable activities that will keep minds and bodies busy!  Participants will enjoy weekly themes; including crafts, music, cooking and sports.  Each week participants will embark on an adventure to one of the weekly destinations.  Trip and bus are included in the program fee.",695603,106.4,Camps - Enhanced (4),No,72,96,"M-Tu, Th-F",15-06-29,15-07-03,9:00 AM,4:00 PM
11965,Brampton Soccer Centre,Lively Trippers,"An incredible array of enjoyable activities that will keep minds and bodies busy!  Participants will enjoy weekly themes; including crafts, music, cooking and sports.  Each week participants will embark on an adventure to one of the weekly destinations.  Trip and bus are included in the program fee.",695604,133,Camps - Enhanced (5),No,72,96,M-F,15-07-06,15-07-10,9:00 AM,4:00 PM
11974,Brampton Soccer Centre,Lacrosse Camp,"Want to learn the fundamentals of lacrosse and understand one of Canada's National Sports?Join us in this fast-paced, action packed camp and take part in drills that will increase your endurance, speed, agility on the floor and enable smoother stick handling.  Participants are to bring their own equipment (helmet and protective gear)",693748,121,Camps - Base (5),No,72,156,M-F,15-07-13,15-07-17,9:00 AM,4:00 PM
11975,Brampton Soccer Centre,Lacrosse Camp,"Want to learn the fundamentals of lacrosse and understand one of Canada's National Sports?Join us in this fast-paced, action packed camp and take part in drills that will increase your endurance, speed, agility on the floor and enable smoother stick handling.  Participants are to bring their own equipment (helmet and protective gear)",693750,121,Camps - Base (5),No,72,156,M-F,15-07-27,15-07-31,9:00 AM,4:00 PM
11976,Brampton Soccer Centre,Lacrosse Camp,"Want to learn the fundamentals of lacrosse and understand one of Canada's National Sports?Join us in this fast-paced, action packed camp and take part in drills that will increase your endurance, speed, agility on the floor and enable smoother stick handling.  Participants are to bring their own equipment (helmet and protective gear)",693753,121,Camps - Base (5),No,72,156,M-F,15-08-17,15-08-21,9:00 AM,4:00 PM
11977,Brampton Soccer Centre,Fitness - Walk and Tone (A55),"This class will allow you to train your cardiovascular system by walking briskly around the track/field for 30 minutes, followed by 25 minutes of muscle conditioning exercises and stretching.",693167,35.35,A55 - Fitness (12) prices may vary based on residency/memberships,No,660,1200,Th,15-04-02,15-06-18,10:45 AM,11:45 AM
11978,Brampton Soccer Centre,Dance Cheer Camp,Combing the art of dance with the power of cheerleading.  Campers will learn a variety of cheerleading stunts to today's top tunes and will showcase their talents on the last day of camp.  Cheer accessories included!,693712,117.2,Camps - Specialized (4),No,96,156,"M-Tu, Th-F",15-06-29,15-07-03,9:00 AM,4:00 PM
