City,Facility Name,Full Address,Phone,Latitude,Logitude,Aliases (optional)
Mississauga,AE Crookes Park,140 Lakefront Promenade,,43.56805931,-79.56117507,
Mississauga,Andy Bathgate Driving Range,600  Eglinton Avenue E Mississauga On L4Z-1Y8,905-890-0156,43.61945967,-79.63783927,Andy Bathgate Driving Range
Mississauga,Applewood Heights Outdoor Pool,3119 Constitution Blvd,,43.60587144,-79.59349626,
Mississauga,Applewood Heights Park P-011,3119 Constitution Blvd,,43.60658749,-79.59321571,Applewood Heights Park - P011
Mississauga,Applewood Pool,3119 Constitution Blvd  Mississauga  On L4Y 2Z1,905-615-4019,43.60591633,-79.59325355,
Brampton,Artway Gallery at Shoppers World,399 Main St S,905-792-2851,43.667514,-79.7356,Artway Gallery at Shoppers World
Brampton,Balmoral Recreation Centre,"225 Balmoral Drive, Brampton, ON  L6T 1V1",905-793-8222,43.7073143,-79.71296668,Balmoral
Brampton,Beaux-Arts Brampton,70-74 Main St S,905-454-5677,43.6822,-79.754917,Beaux-Arts Brampton
Mississauga,Benares Museum Grounds,1503 Clarkson Rd N Mississauga On L5J-2W8,905-615-4860,43.52802791,-79.63609373,Benares Museum
Mississauga,Bolton YMCA Child Care Centre,"12295 Queen Street South Bolton, ON L7E 5T5",(905) 857-3531,-79.719801,43.867007,
Mississauga,Bradley Museum,1620 Orr Rd Mississauga On L5J-4T2,905-615-4860,43.51203498,-79.61143654,Bradley Museum
Mississauga,Braeben Golf Course,5650 Terry Fox  Way  Mississauga On L5V 2N7,905-615-4653,43.59984729,-79.6972883,
Brampton,Brampton Curling Club,,,,,Brampton Curling Club
Brampton,Brampton Goldcrest YMCA Day Camp,"24 Goldcrest Road Brampton, ON L6B 1G3",(647) 273-4596,-79.72158,43.72977,
Brampton,Brampton Grenoble YMCA Centre,"33 Greenbriar Road Brampton, ON L6S 1V8",(647) 274-2043,-79.71684,43.738996,
Brampton,Brampton Ingleborough YMCA Centre,"60 Ingleborough Drive Brampton, ON L6X 0X5",(647) 271-0357,-79.803336,43.658977,
Brampton,Brampton Russell Barber YMCA Centre,"255 North Park Drive Brampton, ON L6S 6A5",(905) 457-1383,-79.75143,43.723413,
Brampton,Brampton Soccer Centre,"1495 Sandalwood, Brampton, ON L6R",905-458-4036,43.743073,-79.768853,Brampton Soccer Centre
