City,Facility Name,Organization,Full Address,Phone,Latitude,Longitude,Aliases (optional)
Caledon,Caledon Library - Albion Bolton Branch,Caledon Library,150 Queen Street South  Bolton ON L7E 1E3,905-857-1400,43.875917,-79.735379,
Caledon,Caledon Library - Alton Branch,Caledon Library,"35 Station Street  Caledon, ON L7K 0E2",519-941-5480,43.858796,-80.064762,
Caledon,Caledon Library - Belfountain Branch,Caledon Library,"17247 Shaw's Creek Road  Caledon, On  L7K 0E8",519-927-5701,43.788351,-80.018309,
Caledon,Caledon Library - Caledon East Branch,Caledon Library,"6500 Old Church Road  Caledon, ON  L7C 0H3",905-584-1456,43.878737,-79.855072,
Caledon,Caledon Library - Caledon Village Branch,Caledon Library,18318 Hurontario St.  Caledon ON  L7K 0X7,519-927-5800,43.858774,-79.993933,
Caledon,Caledon Library - Inglewood Branch ,Caledon Library,"15825 McLaughlin Road  Caledon, ON L7C 1H4",905-838-3324,43.799592,-79.937146,
Caledon,Caledon Library - Margaret Dunn Valleywood Branch ,Caledon Library,"20 Snelcrest Drive  Caledon, ON  L7C 1B5",905-843-0457,43.743733,-79.836225,
Mississauga,AE Crookes Park,City of Mississauga,140 Lakefront Promenade,,43.56805931,-79.56117507,
Mississauga,Andy Bathgate Driving Range,City of Mississauga,600  Eglinton Avenue E Mississauga On L4Z-1Y8,905-890-0156,43.61945967,-79.63783927,Andy Bathgate Driving Range
Mississauga,Applewood Heights Outdoor Pool,City of Mississauga,3119 Constitution Blvd,,43.60587144,-79.59349626,
Mississauga,Applewood Heights Park P-011,City of Mississauga,3119 Constitution Blvd,,43.60658749,-79.59321571,Applewood Heights Park - P011
Mississauga,Applewood Pool,City of Mississauga,3119 Constitution Blvd  Mississauga  On L4Y 2Z1,905-615-4019,43.60591633,-79.59325355,
Mississauga,Benares Museum Grounds,City of Mississauga,1503 Clarkson Rd N Mississauga On L5J-2W8,905-615-4860,43.52802791,-79.63609373,Benares Museum
Mississauga,Bradley Museum,City of Mississauga,1620 Orr Rd Mississauga On L5J-4T2,905-615-4860,43.51203498,-79.61143654,Bradley Museum
Mississauga,Braeben Golf Course,City of Mississauga,5650 Terry Fox  Way  Mississauga On L5V 2N7,905-615-4653,43.59984729,-79.6972883,
Mississauga,Brandon Gate Public School,City of Mississauga,3800 Brandon Gate Drive,,43.7323243,-79.64087547,
Mississauga,Brickyard Park P-416,City of Mississauga,3061 Clayhill Road,,43.57241967,-79.62888008,Brickyard Park - P-416
Mississauga,Brookmede Park,City of Mississauga,2254 Council Ring Rd Mississauga On L5L-1B7,311,43.53686345,-79.67520961,Brookmede Park - P-078 
Mississauga,Burnhamthorpe CC                        ,City of Mississauga,1500 Gulleden Dr Mississauga On L4X-2T7,905-615-4630,43.62261291,-79.59884933,Burnhamthorpe CC
Mississauga,Carmen Corbasson CC                     ,City of Mississauga,1399 Cawthra Rd Mississauga On L5G-4L1,905-615-4800,43.57807198,-79.57656425,Carmen Corbasson CC
Mississauga,Cawthra Estate,City of Mississauga,1507 Cawthra Rd  Mississauga  On  L5G 4L1,905-615-4800,43.58100227,-79.57891712,
Mississauga,Cawthra Park Swimming Pool,City of Mississauga,1305 Cawthra Rd  Mississauga  On  L5G 4L1,905-615-4800,43.57617,-79.573444,Cawthra Park Secondary School Pool
Mississauga,Celebration Square,City of Mississauga,300 City Centre Dr Mississauga On L5B-3C1,311,43.58916576,-79.64405553,
Mississauga,Celebration Square,City of Mississauga,300 City Centre Dr Mississauga On L5B-3C1,311,43.58916576,-79.64405553,
Mississauga,Century City,City of Mississauga,933 Focal Rd Mississauga On L5V-1M8,311,43.59108834,-79.67598768,Century City Park - P-336 
Mississauga,Civic Fitness Centre,City of Mississauga,300 City Centre Dr Mississauga On L5B-3C1,905-896-5495,43.58916576,-79.64405553,Civic Fitness Centre
Mississauga,Clarke Hall,City of Mississauga,161 Lakeshore Rd W  Mississauga  On L5H 1G3,905-615-4840,43.54810772,-79.58895247,
Mississauga,Clarkson CC                             ,City of Mississauga,2475 Truscott Dr Mississauga On L5J-2B3,905-615-4840,43.51123422,-79.64991559,Clarkson CC
Mississauga,Clarkson Secondary School,City of Mississauga,2524 Bromsgrove Rd Mississauga On L5J-1L8,905-822-6700,43.50400261,-79.64574243,Clarkson Secondary School
Mississauga,Courtneypark Athletic Fields,City of Mississauga,600 Courtneypark Dr W Mississauga On L5W-1L9,311,43.62349514,-79.70636514,Courtneypark^Courtneypark Athletic Fields - P-445
Mississauga,David Ramsey Outdoor Pool,City of Mississauga,2470 ThornLodge Drive,,43.52629886,-79.6709478,
Mississauga,Dixie Curling Club,City of Mississauga,3071 Palstan Rd Mississauga On L4Y-2Z7,905-276-1711,43.60609113,-79.59120893,
Mississauga,Don McLean Westacres Outdoor Pool,City of Mississauga,2166 Westfield Drive,,43.59136095,-79.58301366,
Mississauga,Don Mclean Westacres Pool,City of Mississauga,2166 Westfield Dr  Mississauga  On L4Y 1P7,905-615-4288,43.59127369,-79.58287629,
Mississauga,Don Rowing Club Grounds,City of Mississauga,81 Lakeshore Rd E Mississauga On L5G-1C9,905-274-1871,43.55263261,-79.58407959,Don Rowing Club 
Mississauga,Erin Meadows CC                         ,City of Mississauga,2800 Erin Centre Blvd Mississauga On L5M-6R5,905-615-4750,43.55683561,-79.71736732,Erin Meadows CC
Mississauga,Erin Mills Town Centre,City of Mississauga,5100 Erin Mills Parkway Mississauga On L5M-4Z5,905-569-1981,43.55835677,-79.71209061,
Mississauga,Erin Mills Twin Arenas,City of Mississauga,3205 Unity Dr  Mississauga  On L5L 4L5,905-615-4760,43.53666686,-79.71138701,Erin Mills Twin Arena
Mississauga,Erindale Community Hall,City of Mississauga,1620 Dundas Road West,,43.54454052,-79.6543327,
Mississauga,Erindale Outdoor Pool,City of Mississauga,1244 Shamir Cres.,,43.55904306,-79.65450685,
Mississauga,Erindale Pool,City of Mississauga,1244 Shamir Cres  Mississauga  On  L5C 1L1,905-896-5503,43.55888301,-79.65441415,
Mississauga,Frank McKechnie CC and Library          ,City of Mississauga,310 Bristol Rd E Mississauga On L4Z-3V5,905-615-4660,43.61611275,-79.65303845,Frank McKechnie CC and Library
Mississauga,Garnetwood Park P-135,City of Mississauga,1996 Rathburn Road East,,43.63823827,-79.59262609,
Mississauga,Glenforest Swimming Pool,City of Mississauga,3575 Fieldgate Dr  Mississauga  On  L4X 2J6,905-6154630,43.625749,-79.593001,Glenforest Secondary School Pool
Mississauga,Hershey Centre,City of Mississauga,5500 Rose Cherry Place,,43.63172551,-79.65380965,
Mississauga,Hershey Sportzone-Community Rinks (Arena),City of Mississauga,5500 Rose Cherry Pl Mississauga On L4Z-4B6,905-502-9100,43.63070408,-79.65333027,Hershey Sports Complex
Mississauga,Huron Heights Park P-273,City of Mississauga,4500 Central Pky East,,43.61018282,-79.64029511,Huron Heights Park - P-273
Mississauga,Huron Park CC                           ,City of Mississauga,830 Paisley Blvd W Mississauga On L5C-3P5,905-615-4820,43.55908117,-79.63286903,Huron Park -P-026^Huron Park CC
Mississauga,Iceland Mississauga                     ,City of Mississauga,705 Matheson Blvd E  Mississauga  L4Z 3X9,905-615-4680,43.62854499,-79.64866629,Iceland Mississauga
Mississauga,Lake Aquitaine Park P-102,City of Mississauga,2750 Aquataine Ave,,43.58572113,-79.75459494,Lake Aquitaine Park - P-102
Mississauga,Lakefront Promenade,City of Mississauga,800 Lakefront Promenade Mississauga On L5E-3G9,311,43.56791481,-79.55666183,Lakefront Promenade Marina 
Mississauga,Lakeview Golf Course,City of Mississauga,1190 Dixie Rd  Mississauga  On L5E 2P4,905-615-4653,43.58706878,-79.55794293,
Mississauga,Lancaster Public School,City of Mississauga,7425 Netherwood Road,,43.71823406,-79.64746137,
Mississauga,Lewis Bradley Outdoor Pool,City of Mississauga,745 Inverhouse Drive,,43.50848651,-79.62011027,
Mississauga,Lions Club Of Credit Valley Outdoor Pool,City of Mississauga,20 Rosewood Ave  Mississauga  On L5G 3H9,905-615-4830 ,43.55713532,-79.58271673,
Mississauga,Lions Club of Credit Valley Outdoor Pool,City of Mississauga,20 Rosewood Avenue,,43.55724773,-79.58277941,
Mississauga,Lisgar Fields,City of Mississauga,3805 Doug Leavens Blvd Mississauga On,311,43.57157131,-79.77715446,Lisgar Fields - P-359 
Mississauga,Lorne Park Hall,City of Mississauga,1288 Lorne Park Rd Mississauga On L5H-3B1,905-615-4840,43.53111653,-79.62204821,Lorne Park Hall
Mississauga,Malton Arena,City of Mississauga,3430 Derry Road E  Mississauga  On  L4T 1A9,905-615-4640,43.71265829,-79.63147824,
Mississauga,Malton CC                               ,City of Mississauga,3540 Morning Star Dr Mississauga On L4T-1Y2,905-615-4640,43.72319511,-79.63900141,Malton CC
Mississauga,Marco Muzzo Memorial Woods Park P-476,City of Mississauga,5098 Perennial Drive,,43.54244969,-79.72868501,Marco Muzzo Memorial Woods Park - P-476
Mississauga,Meadow Park P-038,City of Mississauga,2203 Truscott Drive,,43.51782765,-79.64361144,
Mississauga,Meadowvale CC                           ,City of Mississauga,6655 Glen Erin Dr Mississauga On L5N-3L4,905-615-4710,43.58561273,-79.75586205,Meadowvale CC
Mississauga,Meadowvale Four Rinks,City of Mississauga,2160 Torquay Mews  Mississauga  On  L5N 2M6,905-615-4730,43.5950981,-79.74148123,Meadowvale 4 Rinks
Mississauga,Meadowvale Theatre,City of Mississauga,6315 Montevideo Road  Mississauga  On  L5N 4G7,905-615-4720,43.585,-79.748,
Mississauga,Meadowvale Village Hall,City of Mississauga,6970 Second Line West,,43.62635953,-79.72732277,
Mississauga,Memorial Park,City of Mississauga,"20 Lakeshore Road East Mississauga, Ontario",,43.551115,-79.586285,
Mississauga,Memorial Park,City of Mississauga,"20 Lakeshore Road East Mississauga, Ontario",,43.551115,-79.586285,
Mississauga,Mississauga Canoe Club,City of Mississauga,31 Front St N Mississauga On L5H-2E1,905-274-2127,43.55099361,-79.59052841,Mississauga Canoe Club 
Mississauga,Mississauga Seniors' Centre             ,City of Mississauga,1389 Cawthra Rd Mississauga On L5G-4L1,905-615-4810,43.57852917,-79.57510167,Mississauga Seniors' Centre
Mississauga,Mississauga Valley CC                   ,City of Mississauga,1275 Mississauga Valley Blvd Mississauga On L5A-3R8,905-615-4670,43.59655452,-79.62411546,Mississauga Valley CC^Mississauga Central Library
Mississauga,Mississauga Valley Gymnasium            ,City of Mississauga,1395 Mississauga Valley Blvd Mississauga On L5A-3R8,905-615-4670,43.59686615,-79.62522264,Mississauga Valley Gymnasium
Mississauga,Mississauga Valley Park,City of Mississauga,1275 Mississauga Valley Blvd Mississauga On L5A-3R8,311,43.59633152,-79.62180108,Mississauga Valley Park - P-096 
Mississauga,Neebin Park P-443,City of Mississauga,635 Kaiser Drive,,43.63805221,-79.72270728,Neebin Park - P-443
Mississauga,Ontario Centre for Classical Sports     ,City of Mississauga,3750 Laird Rd Mississauga On L5L-0A6,905-820-5151,43.52159379,-79.70914731,Ontario Centre for Classical Sports
Brampton,Peel District School Board,City of Mississauga,,,,,Peel District School Board
Mississauga,Port Credit Memorial Park,City of Mississauga,32 Stavebank Rd Mississauga On,311,43.55303422,-79.58901863,Port Credit Memorial Arena^Port Credit Memorial Park 
